effective_date,action,company_name,symbol,source_file,source_url,publication_date,override_scope,reason,review_status
2018-08-08,EXCLUDE,Techno Elt & Eng Co. Ltd.,TECHNO,ind_prs01082018.pdf,https://niftyindices.com/Press_Release/ind_prs01082018.pdf,2018-08-01,LEDGER_MATCH,"Official ledger abbreviates the company name; the notice gives the full name and symbol TECHNO.",MANUALLY_VERIFIED
2020-03-19,EXCLUDE,Yes Bank Ltd.,YESBANK,ind_prs19032020.pdf,https://niftyindices.com/Press_Release/ind_prs19032020.pdf,2020-03-19,LEDGER_MATCH,"Official timing revision states that Sterling and Wilson Solar replaces Yes Bank in NIFTY 500 effective 2020-03-19.",MANUALLY_VERIFIED
2020-03-19,INCLUDE,Sterling And Wilson Solar Ltd.,SWSOLAR,ind_prs19032020.pdf,https://niftyindices.com/Press_Release/ind_prs19032020.pdf,2020-03-19,LEDGER_MATCH,"Official timing revision advances the already-announced replacement of Yes Bank by Sterling and Wilson Solar to 2020-03-19.",MANUALLY_VERIFIED
2020-09-25,EXCLUDE,Arvind Fashions Ltd.,ARVINDFASN,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,EXCLUDE,KPIT Technologies Ltd.,KPITTECH,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,EXCLUDE,Repco Home Finance Ltd.,REPCOHOME,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,EXCLUDE,Spandana Sphoorty Financial Ltd.,SPANDANA,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,INCLUDE,NOCIL Ltd.,NOCIL,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,INCLUDE,PSP Projects Ltd.,PSPPROJECT,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,INCLUDE,Swaraj Engines Ltd.,SWARAJENG,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
2020-09-25,INCLUDE,Tata Coffee Ltd.,TATACOFFEE,ind_prs07092020.pdf,https://niftyindices.com/Press_Release/ind_prs07092020.pdf,2020-09-07,NOTICE_EFFECTIVE_DATE,"The multi-section notice assigns the NIFTY 500 concentration-norm replacements to 2020-09-25.",MANUALLY_VERIFIED
